post_title;post_name;post_parent;ID;post_content;post_excerpt;post_status;post_password;menu_order;post_date;post_author;comment_status;sku;parent_sku;children;downloadable;virtual;stock;regular_price;sale_price;weight;length;width;height;tax_class;visibility;stock_status;backorders;sold_individually;low_stock_amount;manage_stock;tax_status;upsell_ids;crosssell_ids;purchase_note;sale_price_dates_from;sale_price_dates_to;download_limit;download_expiry;product_url;button_text;images;downloadable_files;product_page_url;meta:total_sales;meta:_global_unique_id;meta:_aioseo_title;meta:_aioseo_description;meta:_aioseo_keywords;meta:_aioseo_og_title;meta:_aioseo_og_description;meta:_aioseo_twitter_title;meta:_aioseo_og_article_tags;meta:_aioseo_twitter_description;tax:product_type;tax:product_visibility;tax:product_cat;tax:product_tag;tax:product_shipping_class;tax:product_brand;attribute:Marca;attribute_data:Marca
"Forno a convezione/vapore Rational self cooking center 101 G usato";forno-a-convezione-vapore-rational-self-cooking-center-101-g-usato;;100010103;"<strong>Forno a convezione/vapore Rational self cooking center 101 G usato</strong>
- Capacita 10 teglie GN 1/1
- Alimentazione a metano
- Lavaggio automatico
- Ottime condizioni
- Dim: 85x80x103 cm
- Potenza: 0.39 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Forno a convezione/vapore Rational self cooking center 101 G usato</strong>
- Capacita 10 teglie GN 1/1
- Alimentazione a metano
- Lavaggio automatico
- Ottime condizioni
- Dim: 85x80x103 cm
- Potenza: 0.39 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-03-19 12:00:00";4163;open;100010103;;;no;no;;3150;;;85;80;103;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/03/100010103.jpg ! alt :  ! title : 100010103 ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/03/100010103-1.jpg ! alt :  ! title : 100010103-1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/forno-a-convezione-vapore-rational-self-cooking-center-101-g-usato/;0;;;;[];;;;[];;simple;;Occasioni;;;;Rational;0|1|0
"Abbattitore Coldline usato VISION";abbattitore-coldline-usato-vision;;100010105;"<strong>Abbattitore Coldline usato VISION</strong>
- Abbattimento positivo e negativo
- Motore incorporato
- Dim 78x80x160
- Potenza: 5.211 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Abbattitore Coldline usato VISION</strong>
- Abbattimento positivo e negativo
- Motore incorporato
- Dim 78x80x160
- Potenza: 5.211 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-03-19 12:00:00";4163;open;100010105;;;no;no;;1990;;;78;80;160;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/03/100010105.jpg ! alt :  ! title : 100010105 ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/03/100010105-1.jpg ! alt :  ! title : 100010105-1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/abbattitore-coldline-usato-vision/;0;;;;[];;;;[];;simple;;Occasioni;;;;Coldline;0|1|0
"Macchina Formatrice pizze usata OEM";macchina-formatrice-pizze-usata-oem;;100010106;"<strong>Macchina Formatrice pizze usata OEM</strong>
- Alimentazione elettrica trifase
- Condizioni: Da revisionare
- Dim: 75x75x135
- Potenza: 0.02 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Macchina Formatrice pizze usata OEM</strong>
- Alimentazione elettrica trifase
- Condizioni: Da revisionare
- Dim: 75x75x135
- Potenza: 0.02 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-03-19 12:00:00";4163;open;100010106;;;no;no;;550;;;75;75;135;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/03/100010106.png ! alt :  ! title : 100010106 ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/03/100010106-1.jpg ! alt :  ! title : 100010106-1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/macchina-formatrice-pizze-usata-oem/;0;;;;[];;;;[];;simple;;Occasioni;;;;OEM;0|1|0
"Forno convezione usato unox 10 teglie";forno-convezione-usato-unox-10-teglie;;100010107;"<strong>Forno convezione usato unox 10 teglie</strong>
- Alimentazione a gas
- Alimentazione pannello elettrico monofase
- condizioni: ottime
- Dim 75x72x95
- Potenza: 0.92 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Forno convezione usato unox 10 teglie</strong>
- Alimentazione a gas
- Alimentazione pannello elettrico monofase
- condizioni: ottime
- Dim 75x72x95
- Potenza: 0.92 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-03-19 12:00:00";4163;open;100010107;;;no;no;;3000;;;75;72;95;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/03/100010107.jpg ! alt :  ! title : 100010107 ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/03/100010107-1.jpg ! alt :  ! title : 100010107-1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/forno-convezione-usato-unox-10-teglie/;0;;;;[];;;;[];;simple;;Occasioni;;;;Unox;0|1|0
"Armadio refrigerato usato 400 lt Zanussi";armadio-refrigerato-usato-400-lt-zanussi;;100010108;"<strong>Armadio refrigerato usato 400 lt Zanussi</strong>
- Capacita 400 lt
- Temperatura positiva
- Buone condizioni
- Dim 70x61x170
- Potenza: 0.125 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Armadio refrigerato usato 400 lt Zanussi</strong>
- Capacita 400 lt
- Temperatura positiva
- Buone condizioni
- Dim 70x61x170
- Potenza: 0.125 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-03-19 12:00:00";4163;open;100010108;;;no;no;;590;;;70;61;170;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/03/100010108.jpg ! alt :  ! title : 100010108 ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/03/100010108-1.jpg ! alt :  ! title : 100010108-1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/armadio-refrigerato-usato-400-lt-zanussi/;0;;;;[];;;;[];;simple;;Occasioni;;;;Zanussi;0|1|0
"Armadio caldo usato";armadio-caldo-usato;;100102017;"<strong>Armadio caldo</strong>

- In acciaio inox
- Alimentazioneelettrica monofase
- Con ripiano
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Armadio caldo</strong>

- In acciaio inox
- Alimentazioneelettrica monofase
- Con ripiano
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-11-12 15:50:05";4163;open;100102017;;;no;no;;490;;;90;55;70;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/11/100102017-1-scaled.jpg ! alt :  ! title : 100102017-1.jpg ! desc :  ! caption : ";;https://www.borz.it/prodotto/armadio-caldo-usato/;0;;;;;;;;;;simple;;Occasioni;;;;Offcar;0|1|0
"Piastra Frytop a gas GICO 80/90 usata";piastra-frytop-a-gas-gico-80-90-usata;;100190017;"<strong>Piastra Frytop a gas GICO 80/90</strong>

- 1/2 liscia + 1/2 rigata
- Alimentazione a gas 
- 2 zone indipendenti
- Su armadio a giorno
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Piastra Frytop a gas GICO 80/90</strong>

- 1/2 liscia + 1/2 rigata
- Alimentazione a gas 
- 2 zone indipendenti
- Su armadio a giorno
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-11-12 15:50:07";4163;open;100190017;;;no;no;;1750;;;80;90;90;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/11/100190017-1-scaled.jpg ! alt :  ! title : 100190017-1.jpg ! desc :  ! caption : ";;https://www.borz.it/prodotto/piastra-frytop-a-gas-gico-80-90-usata/;0;;;;;;;;;;simple;;Occasioni;;;;Gico;0|1|0
"Abbattitore di temperatura usato mod. Coldline";abbattitore-di-temperatura-usato-mod-coldline;;111815503;"<strong>Abbattitore di temperatura usato mod. Coldline</strong>
- Abbattimento positivo e negativo
- Capacita 5 teglie GN 1/1
- Alimentazione elettrica monofase
- Dim 75x70x89
- Potenza: 0.886 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Abbattitore di temperatura usato mod. Coldline</strong>
- Abbattimento positivo e negativo
- Capacita 5 teglie GN 1/1
- Alimentazione elettrica monofase
- Dim 75x70x89
- Potenza: 0.886 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-02 12:58:10";4163;open;111815503;;;no;no;;1985;;;75;70;89;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/111815503-1-scaled.jpeg ! alt :  ! title : 111815503-1.jpeg ! desc :  ! caption : ";;https://www.borz.it/prodotto/abbattitore-di-temperatura-usato-mod-coldline/;0;;;;;;;;;;simple;;Occasioni;;;;Coldline;0|1|0
"Forno pizza elettrico 2 camere OEM";forno-pizza-elettrico-2-camere-oem;;200211304;"<strong>Forno pizza elettrico 2 camere OEM</strong>
 - Alimentazione trifase
 - Comandi indipendenti
 - Supporto incluso
- Potenza: 15.6 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Forno pizza elettrico 2 camere OEM</strong>
 - Alimentazione trifase
 - Comandi indipendenti
 - Supporto incluso
- Potenza: 15.6 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-12-03 15:00:00";4163;open;200211304;;;no;no;;850;;;138;85;150;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/12/200211304.jpg ! alt :  ! title : 200211304 ! desc :  ! caption : ";;https://www.borz.it/prodotto/forno-pizza-elettrico-2-camere-oem/;0;;;;;;;;;;simple;;Occasioni;;;;;0|1|0
"Carrello Inox Portateglie sala espositiva";carrello-inox-portateglie-sala-espositiva;;210104101;"<strong>Carrello Inox Portateglie sala espositiva</strong>
- A 3 scomparti
- 10 teglie x scomparto
- Dim 110x55x175
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Carrello Inox Portateglie sala espositiva</strong>
- A 3 scomparti
- 10 teglie x scomparto
- Dim 110x55x175
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-30 12:00:00";4163;open;210104101;;;no;no;;395;;;110;55;175;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/210104101-scaled.jpg ! alt :  ! title : 210104101 ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/04/210104101_1-scaled.jpg ! alt :  ! title : 210104101_1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/carrello-inox-portateglie-sala-espositiva/;0;;;;[];;;;[];;simple;;Occasioni;;;;;0|1|0
"Modulo refrigerato sala demo Amitek";modulo-refrigerato-sala-demo-amitek;;402490026;"<strong>Modulo refrigerato sala demo Amitek</strong>
- Capacita 200 LT
- Potenza 100 Watt
- Voltaggio 230/1N/50Hz
- Gas/Refrigerant R600a
- Temp -2 + 8
- Peso 44kg
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Modulo refrigerato sala demo Amitek</strong>
- Capacita 200 LT
- Potenza 100 Watt
- Voltaggio 230/1N/50Hz
- Gas/Refrigerant R600a
- Temp -2 + 8
- Peso 44kg
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-22 12:00:00";4163;open;402490026;;;no;no;;680;;44;60;60;85;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/402490026-1-scaled.jpg ! alt :  ! title : 402490026-1.jpg ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/04/402490026_1-scaled.jpg ! alt :  ! title : 402490026_1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/modulo-refrigerato-sala-demo-amitek/;0;;;;[];;;;[];;simple;;Occasioni;;;;Amitek;0|1|0
"Armadio refrigerato basso con porta a vetro mod. 200 LT nuovo";armadio-refrigerato-basso-con-porta-a-vetro-mod-200-lt-nuovo;;403070032;"<strong>Armadio refrigerato basso con porta a vetro mod. 200 LT  nuovo</strong>
- Temperatura Esercizio: -10 -25
- Dim 60x60x85
- Potenza: 0.270 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Armadio refrigerato basso con porta a vetro mod. 200 LT  nuovo</strong>
- Temperatura Esercizio: -10 -25
- Dim 60x60x85
- Potenza: 0.270 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-02 12:58:10";4163;open;403070032;;;no;no;;598;;;60;60;85;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/403070032-1-scaled.jpeg ! alt :  ! title : 403070032-1.jpeg ! desc :  ! caption : ";;https://www.borz.it/prodotto/armadio-refrigerato-basso-con-porta-a-vetro-mod-200-lt-nuovo/;0;;;;;;;;;;simple;;Occasioni;;;;Amitek;0|1|0
"Abbattitore di temperatura inox usato";abbattitore-di-temperatura-inox-usato;;698010350;"<strong>Abbattitore di temperatura inox </strong>

- Capacita 5 teglie GN 1/1
- Alimentazione elettrica monofase
- Revisionato
- Con Sonda
- Abbattimento positivo e negativo
- Potenza: 1.1 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Abbattitore di temperatura inox </strong>

- Capacita 5 teglie GN 1/1
- Alimentazione elettrica monofase
- Revisionato
- Con Sonda
- Abbattimento positivo e negativo
- Potenza: 1.1 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-11-12 15:49:57";4163;open;698010350;;;no;no;;2190;;;84;71;70;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/11/698010350-1-scaled.jpg ! alt :  ! title : 698010350-1.jpg ! desc :  ! caption : ";;https://www.borz.it/prodotto/abbattitore-di-temperatura-inox-usato/;0;;;;;;;;;;simple;;Occasioni;;;;Irinox;0|1|0
"Armadio refrigerato Tecnodom usato doppio vano indipendente";armadio-refrigerato-tecnodom-usato-doppio-vano-indipendente;;3248694386;"<strong>Armadio refrigerato Tecnodom usato doppio vano indipendente</strong>
- Su piedini regolabile
- 2 vani separati positivi
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Armadio refrigerato Tecnodom usato doppio vano indipendente</strong>
- Su piedini regolabile
- 2 vani separati positivi
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-11-05 12:58:10";4163;open;3248694386;;;no;no;;1590;;;70;79;191;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/11/3248694386.jpg ! alt :  ! title : 3248694386 ! desc :  ! caption : ";;https://www.borz.it/prodotto/armadio-refrigerato-tecnodom-usato-doppio-vano-indipendente/;0;;;;;;;;;;simple;;Occasioni;;;;Tecnodom;0|1|0
"Vetrina buffet refrigerata usata";vetrina-buffet-refrigerata-usata;;3248694387;"<strong>Vetrina buffet refrigerata usata</strong>
- Carrellata su ruote con freno stazionamento
- Temperatura positiva
- Vano a giorno sottostante
- Potenza: 1.5 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Vetrina buffet refrigerata usata</strong>
- Carrellata su ruote con freno stazionamento
- Temperatura positiva
- Vano a giorno sottostante
- Potenza: 1.5 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-11-05 12:58:10";4163;open;3248694387;;;no;no;;490;;;138;70;136;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/11/3248694387-scaled.jpg ! alt :  ! title : 3248694387 ! desc :  ! caption : ";;https://www.borz.it/prodotto/vetrina-buffet-refrigerata-usata/;0;;;;;;;;;;simple;;Occasioni;;;;;0|1|0
"Abbattitore di temperatura usato mod. Baron";abbattitore-di-temperatura-usato-mod-baron;;8016212100;"<strong>Abbattitore di temperatura usato mod. Baron</strong>
- Abbattimento in temperatura positiva
- Capacita 10 Teglie
- Alimentazione elettrica Monofase
- Dim 75x80x142
- Potenza: 3.302 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Abbattitore di temperatura usato mod. Baron</strong>
- Abbattimento in temperatura positiva
- Capacita 10 Teglie
- Alimentazione elettrica Monofase
- Dim 75x80x142
- Potenza: 3.302 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-02 12:58:10";4163;open;8016212100;;;no;no;;1295;;;75;80;142;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/8016212100-1-scaled.jpeg ! alt :  ! title : 8016212100-1.jpeg ! desc :  ! caption : ";;https://www.borz.it/prodotto/abbattitore-di-temperatura-usato-mod-baron/;0;;;;;;;;;;simple;;Occasioni;;;;Baron;0|1|0
"Friggitrice doppia Modular elettrica usata";friggitrice-doppia-modular-elettrica-usata;;201906280002;"<strong>Friggitrice doppia Modular elettrica usata</strong>
- Doppia vasca
- Inclusi 2 cestelli con coperchio
- Alimentazione trifase
- Dim 70x70x87
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Friggitrice doppia Modular elettrica usata</strong>
- Doppia vasca
- Inclusi 2 cestelli con coperchio
- Alimentazione trifase
- Dim 70x70x87
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2025-04-21 12:00:00";4163;open;201906280002;;;no;no;;1520;;;70;70;87;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2025/04/201906280002-1-scaled.jpg ! alt :  ! title : 201906280002-1.jpg ! desc :  ! caption :  | https://www.borz.it/wp-content/uploads/2025/04/201906280002_1-scaled.jpg ! alt :  ! title : 201906280002_1 ! desc :  ! caption : ";;https://www.borz.it/prodotto/friggitrice-doppia-modular-elettrica-usata/;0;;;;[];;;;[];;simple;;Occasioni;;;;Modular;0|1|0
"Friggitrice doppia Modular usata";friggitrice-doppia-modular-usata-2;;2021062100011;"<strong>Friggitrice doppia Modular usata</strong>
- Alimentazione elettrica trifase
- 2 vasche
- Inclusi cestelli
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Friggitrice doppia Modular usata</strong>
- Alimentazione elettrica trifase
- 2 vasche
- Inclusi cestelli
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-11-05 12:58:10";4163;open;2021062100011;;;no;no;;3950;;;80;90;72;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/11/2021062100011-scaled.jpg ! alt :  ! title : 2021062100011 ! desc :  ! caption : ";;https://www.borz.it/prodotto/friggitrice-doppia-modular-usata-2/;0;;;;[];;;;[];;simple;;Occasioni;;;;Modular;0|1|0
"Armadio refrigerato positivo Studio 54 Nuovo";armadio-refrigerato-positivo-studio-54-nuovo;;8058339386195;"<strong>Armadio refrigerato positivo Studio 54 Nuovo</strong>

- Capacita 700 LT
- Temperatura Esercizio -2/+8 C
- Potenza: 0.180 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Armadio refrigerato positivo Studio 54 Nuovo</strong>

- Capacita 700 LT
- Temperatura Esercizio -2/+8 C
- Potenza: 0.180 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-11-05 12:58:10";4163;open;5179701;;;no;no;;2490;;;73;84;209;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/11/5179701-1-scaled.jpg ! alt :  ! title : 5179701-1.jpg ! desc :  ! caption : ";;https://www.borz.it/prodotto/armadio-refrigerato-positivo-studio-54-nuovo/;0;;;;;;;;;;simple;;Occasioni;;;;"Studio 54";0|1|0
"Armadio refrigerato positivo Studio 54 Nuovo";armadio-refrigerato-positivo-studio-54-nuovo-2;;8058339386196;"<strong>Armadio refrigerato positivo Studio 54 Nuovo</strong>

- Capacita 700 LT
- Temperatura Esercizio -2/+8 C
- Potenza:  0.180 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Armadio refrigerato positivo Studio 54 Nuovo</strong>

- Capacita 700 LT
- Temperatura Esercizio -2/+8 C
- Potenza:  0.180 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-11-05 12:58:10";4163;open;5179700;;;no;no;;2490;;;73;84;209;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/11/5179700-1-scaled.jpg ! alt :  ! title : 5179700-1.jpg ! desc :  ! caption : ";;https://www.borz.it/prodotto/armadio-refrigerato-positivo-studio-54-nuovo-2/;0;;;;;;;;;;simple;;Occasioni;;;;"Studio 54";0|1|0
"Armadio refrigerato positivo Studio 54 Nuovo";armadio-refrigerato-positivo-studio-54-nuovo-3;;8058339386197;"<strong>Armadio refrigerato positivo Studio 54 Nuovo</strong>

- Capacita 700 LT
- Temperatura Esercizio -2/+8 C
- Potenza:  0.180 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";"<strong>Armadio refrigerato positivo Studio 54 Nuovo</strong>

- Capacita 700 LT
- Temperatura Esercizio -2/+8 C
- Potenza:  0.180 Kw
<strong>Consegna e costi di spedizione da accordare salvo esaurimento scorta</strong>";publish;;0;"2024-11-05 12:58:10";4163;open;5163159;;;no;no;;2490;;;73;84;209;;;instock;no;no;;no;taxable;;;;;;'-1;'-1;;;"https://www.borz.it/wp-content/uploads/2024/11/5163159-1-scaled.jpg ! alt :  ! title : 5163159-1.jpg ! desc :  ! caption : ";;https://www.borz.it/prodotto/armadio-refrigerato-positivo-studio-54-nuovo-3/;0;;;;;;;;;;simple;;Occasioni;;;;"Studio 54";0|1|0
